"Nutzer-ID";"Nutzername";"Datum";"Tätigkeit";"Kategorie";"Arbeitsbeginn";"Arbeitsende";"Dauer in Minuten";"Notiz";"bearbeitet";"nachgetragen"
"user_1";"Nutzer 1";"24.11.2025";"Inbox-Check";"Organisation";"08:15";"08:25";"10";"";"ja";"nein"
"user_1";"Nutzer 1";"24.11.2025";"Abstimmung Filiale";"Meetings";"08:25";"08:50";"25";"";"nein";"nein"
"user_1";"Nutzer 1";"24.11.2025";"Kurzfreigabe";"Marketing Zentral";"09:00";"09:12";"12";"kurze Session";"nein";"nein"
"user_1";"Nutzer 1";"24.11.2025";"Event-Rückfrage";"Eventplanung";"09:20";"09:55";"35";"";"nein";"nein"
"user_1";"Nutzer 1";"24.11.2025";"Netzwerk-Telefonat";"Netzwerk";"10:10";"10:55";"45";"";"nein";"nein"
"user_1";"Nutzer 1";"24.11.2025";"Flächenrunde";"Fläche";"12:25";"13:20";"55";"";"nein";"ja"
"user_1";"Nutzer 1";"24.11.2025";"Tagesabschluss";"Organisation";"15:05";"15:25";"20";"";"nein";"nein"
"user_1";"Nutzer 1";"25.11.2025";"Konzeptarbeit";"Eventplanung";"08:00";"10:45";"165";"ruhiger Fokusblock";"nein";"nein"
"user_1";"Nutzer 1";"25.11.2025";"Ausarbeitung";"Marketing Zentral";"11:20";"13:50";"150";"";"nein";"nein"
"user_1";"Nutzer 1";"25.11.2025";"Dokumentation";"Administration";"14:20";"15:40";"80";"";"nein";"ja"
"user_1";"Nutzer 1";"26.11.2025";"Planung";"Organisation";"08:30";"09:30";"60";"";"nein";"nein"
"user_1";"Nutzer 1";"26.11.2025";"Teammeeting";"Meetings";"10:00";"11:15";"75";"";"nein";"nein"
"user_1";"Nutzer 1";"26.11.2025";"Kampagnenarbeit";"Eventplanung";"12:15";"14:25";"130";"";"nein";"nein"
"user_1";"Nutzer 1";"26.11.2025";"Nachbereitung";"Administration";"15:15";"16:05";"50";"";"ja";"nein"
"user_1";"Nutzer 1";"27.11.2025";"Inbox-Check";"Organisation";"08:15";"08:25";"10";"";"ja";"nein"
"user_1";"Nutzer 1";"27.11.2025";"Abstimmung Filiale";"Meetings";"08:25";"08:50";"25";"";"nein";"nein"
"user_1";"Nutzer 1";"27.11.2025";"Kurzfreigabe";"Marketing Zentral";"09:00";"09:12";"12";"kurze Session";"nein";"nein"
"user_1";"Nutzer 1";"27.11.2025";"Event-Rückfrage";"Eventplanung";"09:20";"09:55";"35";"";"nein";"nein"
"user_1";"Nutzer 1";"27.11.2025";"Netzwerk-Telefonat";"Netzwerk";"10:10";"10:55";"45";"";"nein";"nein"
"user_1";"Nutzer 1";"27.11.2025";"Flächenrunde";"Fläche";"12:25";"13:20";"55";"";"nein";"ja"
"user_1";"Nutzer 1";"27.11.2025";"Tagesabschluss";"Organisation";"15:05";"15:25";"20";"";"nein";"nein"
"user_1";"Nutzer 1";"28.11.2025";"Konzeptarbeit";"Eventplanung";"08:00";"10:45";"165";"ruhiger Fokusblock";"nein";"nein"
"user_1";"Nutzer 1";"28.11.2025";"Ausarbeitung";"Marketing Zentral";"11:20";"13:50";"150";"";"nein";"nein"
"user_1";"Nutzer 1";"28.11.2025";"Dokumentation";"Administration";"14:20";"15:40";"80";"";"nein";"ja"
"user_1";"Nutzer 1";"01.12.2025";"Planung";"Organisation";"08:30";"09:30";"60";"";"nein";"nein"
"user_1";"Nutzer 1";"01.12.2025";"Teammeeting";"Meetings";"10:00";"11:15";"75";"";"nein";"nein"
"user_1";"Nutzer 1";"01.12.2025";"Kampagnenarbeit";"Eventplanung";"12:15";"14:25";"130";"";"nein";"nein"
"user_1";"Nutzer 1";"01.12.2025";"Nachbereitung";"Administration";"15:15";"16:05";"50";"";"ja";"nein"
"user_1";"Nutzer 1";"02.12.2025";"Inbox-Check";"Organisation";"08:15";"08:25";"10";"";"ja";"nein"
"user_1";"Nutzer 1";"02.12.2025";"Abstimmung Filiale";"Meetings";"08:25";"08:50";"25";"";"nein";"nein"
"user_1";"Nutzer 1";"02.12.2025";"Kurzfreigabe";"Marketing Zentral";"09:00";"09:12";"12";"kurze Session";"nein";"nein"
"user_1";"Nutzer 1";"02.12.2025";"Event-Rückfrage";"Eventplanung";"09:20";"09:55";"35";"";"nein";"nein"
"user_1";"Nutzer 1";"02.12.2025";"Netzwerk-Telefonat";"Netzwerk";"10:10";"10:55";"45";"";"nein";"nein"
"user_1";"Nutzer 1";"02.12.2025";"Flächenrunde";"Fläche";"12:25";"13:20";"55";"";"nein";"ja"
"user_1";"Nutzer 1";"02.12.2025";"Tagesabschluss";"Organisation";"15:05";"15:25";"20";"";"nein";"nein"
"user_2";"Nutzer 2";"02.12.2025";"Kontrollmeeting";"Meetings";"09:00";"10:00";"60";"";"nein";"nein"
"user_2";"Nutzer 2";"02.12.2025";"Kontrollaufgabe";"Administration";"11:00";"12:30";"90";"";"nein";"nein"
"user_1";"Nutzer 1";"03.12.2025";"Konzeptarbeit";"Eventplanung";"08:00";"10:45";"165";"ruhiger Fokusblock";"nein";"nein"
"user_1";"Nutzer 1";"03.12.2025";"Ausarbeitung";"Marketing Zentral";"11:20";"13:50";"150";"";"nein";"nein"
"user_1";"Nutzer 1";"03.12.2025";"Dokumentation";"Administration";"14:20";"15:40";"80";"";"nein";"ja"
"user_1";"Nutzer 1";"04.12.2025";"Inbox-Check";"Organisation";"08:15";"08:25";"10";"";"ja";"nein"
"user_1";"Nutzer 1";"04.12.2025";"Abstimmung Filiale";"Meetings";"08:25";"08:50";"25";"";"nein";"nein"
"user_1";"Nutzer 1";"04.12.2025";"Kurzfreigabe";"Marketing Zentral";"09:00";"09:12";"12";"kurze Session";"nein";"nein"
"user_1";"Nutzer 1";"04.12.2025";"Event-Rückfrage";"Eventplanung";"09:20";"09:55";"35";"";"nein";"nein"
"user_1";"Nutzer 1";"04.12.2025";"Netzwerk-Telefonat";"Netzwerk";"10:10";"10:55";"45";"";"nein";"nein"
"user_1";"Nutzer 1";"04.12.2025";"Flächenrunde";"Fläche";"12:25";"13:20";"55";"";"nein";"ja"
